Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
652;1;Kristinagatan 36: Kärltvätt Standard  (2024-02-13 17:03);3;150;K100;;BHO891
653;1;Kristinagatan 31-47: Kärltvätt Standard  (2024-02-13 16:49);3;150;K100;;BHO891
654;1;Torggatan 42: Miljörum Large  (2024-02-14 10:50);1;648;K100;;BHO891
655;1;Torggatan 42: Kärltvätt Standard  (2024-02-14 10:51);14;150;K100;;BHO891
656;1;Torggatan 46: Miljörum Small  (2024-02-14 17:12);1;648;K100;;BHO891
657;1;Torggatan 46: Kärltvätt Standard  (2024-02-14 17:13);4;150;K100;;BHO891
658;1;Doktor Westerlunds Gata 2-6: Kärltvätt Standard  (2024-02-14 08:33);4;150;K100;;BHO891
659;1;Tornfalksgränd 8: Miljörum Large  (2024-02-12 16:13);1;648;K100;;BHO891
660;1;Tornfalksgränd 8: Kärltvätt Standard  (2024-02-12 16:09);14;150;K100;;BHO891
661;1;Tornfalksgränd 2: Miljörum Large ;1;648;K100;;ADO
662;1;Tornfalksgränd 2: Kärltvätt Standard ;11;150;K100;;ADO
663;1;Tornfalksgränd 1: Miljörum Large ;1;648;K100;;ADO
664;1;Tornfalksgränd 1: Kärltvätt Standard ;11;150;K100;;ADO
665;1;Stenfalksgränd 2: Miljörum Large ;1;648;K100;;ADO
666;1;Stenfalksgränd 2: Kärltvätt Standard ;12;150;K100;;ADO
667;1;Stenfalksgränd 1: Miljörum Large ;1;648;K100;;ADO
668;1;Stenfalksgränd 1: Kärltvätt Standard ;13;150;K100;;ADO
669;1;Lärkfalksgränd 2: Miljörum Large ;1;648;K100;;ADO
670;1;Lärkfalksgränd 2: Kärltvätt Standard ;11;150;K100;;ADO
671;1;Lärkfalksgränd 1: Miljörum Large ;1;648;K100;;ADO
672;1;Lärkfalksgränd 1: Kärltvätt Standard ;12;150;K100;;ADO
673;1;Bivråksgränd 7: Miljörum Large ;1;648;K100;;ADO
674;1;Bivråksgränd 7: Kärltvätt Standard ;13;150;K100;;ADO
675;1;Hornugglegränd 5: Miljörum Small  (2024-02-13 13:34);1;648;K100;;BHO891
676;1;Hornugglegränd 5: Kärltvätt Standard  (2024-02-13 13:37);1;150;K100;;BHO891
677;1;Hornugglegränd 7: Miljörum Small  (2024-02-13 13:18);1;648;K100;;BHO891
678;1;Hornugglegränd 7: Kärltvätt Standard  (2024-02-13 13:20);1;150;K100;;BHO891
679;1;Hornugglegränd 9: Miljörum Small  (2024-02-13 13:48);1;648;K100;;BHO891
680;1;Hornugglegränd 9: Kärltvätt Standard  (2024-02-13 13:49);1;150;K100;;BHO891
681;1;Fiskgjusegränd 1: Miljörum Medium  (2024-02-13 10:00);2;648;K100;;BHO891
682;1;Fiskgjusegränd 1: Kärltvätt Standard  (2024-02-13 10:02);13;150;K100;;BHO891
683;1;Fiskgjusegränd 2: Miljörum Medium  (2024-02-13 09:29);2;648;K100;;BHO891
684;1;Fiskgjusegränd 2: Kärltvätt Standard  (2024-02-13 09:31);12;150;K100;;BHO891
685;1;Ormvråksgränd 1: Miljörum Medium  (2024-02-13 12:05);2;648;K100;;BHO891
686;1;Ormvråksgränd 1: Kärltvätt Standard  (2024-02-13 12:06);11;150;K100;;BHO891
687;1;Ormvråksgränd 2: Miljörum Medium  (2024-02-13 10:47);2;648;K100;;BHO891
688;1;Ormvråksgränd 2: Kärltvätt Standard  (2024-02-13 10:48);12;150;K100;;BHO891
689;1;Lärkfalksgränd 11: Miljörum Large ;1;648;K100;;ADO
690;1;Lärkfalksgränd 11: Kärltvätt Standard ;15;150;K100;;ADO
691;1;Fiskgjusegränd 10: Miljörum Medium  (2024-02-12 18:26);1;648;K100;;BHO891
692;1;Fiskgjusegränd 10: Kärltvätt Standard  (2024-02-13 07:13);4;150;K100;;BHO891
693;1;Fiskgjusegränd 11: Miljörum Large ;1;648;K100;;ADO
694;1;Fiskgjusegränd 11: Kärltvätt Standard ;11;150;K100;;ADO
695;1;Ormvråksgränd 7: Miljörum Medium  (2024-02-12 18:04);1;648;K100;;BHO891
696;1;Ormvråksgränd 7: Kärltvätt Standard  (2024-02-12 18:05);11;150;K100;;BHO891
697;1;Ormvråksgränd 10: Miljörum Large  (2024-02-12 17:24);1;648;K100;;BHO891
698;1;Ormvråksgränd 10: Kärltvätt Standard  (2024-02-12 17:25);11;150;K100;;BHO891
699;1;Lärkfalksgränd 13: Miljörum Large ;1;648;K100;;ADO
700;1;Lärkfalksgränd 13: Kärltvätt Standard ;10;150;K100;;ADO
