Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
6432;1;Klockgjutaren 1-3: Kärltvätt Standard  (2024-05-07 18:18);11;210;K100;N;ADO
6433;1;Klockgjutaren 9: Miljörum Small  (2024-05-07 19:02);1;790;K100;N;ADO
6434;1;Klockgjutaren 9: Kärltvätt Standard  (2024-05-07 19:01);8;210;K100;N;ADO
6435;1;Västra Långgatan 53: Miljörum Small  (2024-05-07 19:27);1;790;K100;N;ADO
6436;1;Västra Långgatan 53: Kärltvätt Standard  (2024-05-07 19:27);8;210;K100;N;ADO
6437;1;Utanvindsvägen 1: Kärltvätt Standard  (2024-05-06 15:20);22;133;K100;N;DSU
6438;1;Utanvindsvägen 1: Kärltvätt Standard  (2024-05-08 14:19);22;133;K100;N;DSU
6439;1;Dalarövägen 66: Kärltvätt Standard  (2024-05-08 09:40);8;156,64;K100;M;YCJ
6440;1;Tyrestavägen 40: Kärltvätt Standard  (2024-05-08 10:08);4;156,64;K100;M;YCJ
6441;1;Skulptörvägen: Miljörum (m²)  (2024-05-07 08:38);28;49,44;K100;M;BHO891
6442;1;Nynäsvägen 203 - Nya skolan: Kärltvätt Standard  (2024-05-07 10:31);14;156,64;K100;M;YCJ
6443;1;Nynäsvägen 203 - Förskola: Kärltvätt Standard  (2024-05-07 10:45);7;156,64;K100;M;YCJ
6444;1;Floraplan 1 rum 2: Kärltvätt Standard  (2024-05-07 13:03);6;156,64;K100;M;YCJ
6446;1;Bankgatan 5: Miljörum Medium  (2024-05-15 10:43);1;990;K100;N;ADO
6447;1;Bankgatan 5: Kärltvätt Standard  (2024-05-15 10:42);12;210;K100;N;ADO
6448;1;Kyrkogatan 18: Miljörum Large  (2024-05-14 10:26);1;1290;K100;N;ADO
6449;1;Kyrkogatan 18: Kärltvätt Standard  (2024-05-14 10:26);6;210;K100;N;ADO
6450;1;Kyrkogatan 20-22: Miljörum Medium  (2024-05-14 09:59);2;990;K100;N;ADO
6451;1;Kyrkogatan 20-22: Kärltvätt Standard  (2024-05-14 09:58);24;210;K100;N;ADO
6452;1;Rådhusgatan 3-5: Miljörum Small  (2024-05-15 11:48);2;790;K100;N;ADO
6453;1;Rådhusgatan 3-5: Kärltvätt Standard  (2024-05-15 11:48);4;210;K100;N;ADO
6454;1;Sjögatan 13: Miljörum Small  (2024-05-15 11:17);1;790;K100;N;ADO
6455;1;Sjögatan 13: Kärltvätt Standard  (2024-05-15 11:17);9;210;K100;N;ADO
6456;1;Skepparplatsen 1: Miljörum Small  (2024-05-16 08:38);1;790;K100;N;ADO
6457;1;Skepparplatsen 1: Kärltvätt Standard  (2024-05-16 08:38);4;210;K100;N;ADO
6458;1;Storgatan 19: Miljörum Small  (2024-05-14 19:46);1;790;K100;N;ADO
6459;1;Storgatan 19: Kärltvätt Standard  (2024-05-14 19:45);6;210;K100;N;ADO
6460;1;Stuvarvägen 25-27: Miljörum Medium  (2024-05-15 16:08);1;990;K100;N;ADO
6461;1;Stuvarvägen 25-27: Kärltvätt Standard  (2024-05-15 16:08);12;210;K100;N;ADO
6462;1;Stuvarvägen 5-17: Miljörum Medium  (2024-05-15 14:43);3;990;K100;N;ADO
6463;1;Stuvarvägen 5-17: Kärltvätt Standard  (2024-05-15 14:42);20;210;K100;N;ADO
6464;1;Södra Järnvägsgatan 37: Miljörum Medium  (2024-05-13 13:27);2;990;K100;N;ADO
6465;1;Södra Järnvägsgatan 37: Kärltvätt Standard  (2024-05-13 13:25);16;210;K100;N;ADO
6466;1;Thulegatan 5: Miljörum Small  (2024-05-14 20:05);1;790;K100;N;ADO
6467;1;Thulegatan 5: Kärltvätt Standard  (2024-05-14 20:05);7;210;K100;N;ADO
6468;1;Trädgårdsgatan 4-6: Miljörum Small  (2024-05-15 13:36);1;790;K100;N;ADO
6469;1;Trädgårdsgatan 4-6: Kärltvätt Standard  (2024-05-15 13:36);7;210;K100;N;ADO
6470;1;Universitetsallén 2-8: Miljörum Medium  (2024-05-16 08:12);1;990;K100;N;ADO
6471;1;Universitetsallén 2-8: Kärltvätt Standard  (2024-05-16 08:12);7;210;K100;N;ADO
6472;1;Esplanaden 23: Kärltvätt Standard  (2024-05-15 15:08);4;210;K100;N;ADO
6473;1;Esplanaden 25: Kärltvätt Standard  (2024-05-14 19:22);2;210;K100;N;ADO
6474;1;Kyrkogatan 5: Kärltvätt Standard  (2024-05-15 11:33);2;210;K100;N;ADO
6475;1;Nybrogatan 8: Kärltvätt Standard  (2024-05-15 09:58);6;210;K100;N;ADO
6476;1;Södra Järnvägsgatan 17: Kärltvätt Standard  (2024-05-14 19:15);1;210;K100;N;ADO
